dataset,reference_locus,gene,annotation,strand,translation_start,n_motif_occurrences,minimum_mismatches,has_exact_motif,has_one_mismatch_motif,has_leq1_mismatch_motif,closest_motif_start_rel_CDS
background,MIDG2331_RS09320,,surface lipoprotein assembly modifier,+,1986616,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09325,rfaD,ADP-glyceromanno-heptose 6-epimerase,-,1988729,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09330,def,peptide deformylase,-,1989381,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09335,dprA,DNA-processing protein DprA,+,1989567,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09340,,OPT family oligopeptide transporter,-,1992771,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09345,,PTS ascorbate transporter subunit IIC,-,1994348,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09350,,PTS sugar transporter subunit IIB,-,1994629,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09360,nusG,transcription termination/antitermination protein NusG,+,1995347,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09365,rplK,50S ribosomal protein L11,+,1996198,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09370,rplA,50S ribosomal protein L1,+,1996631,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09375,rplJ,50S ribosomal protein L10,+,1997609,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09380,rplL,50S ribosomal protein L7/L12,+,1998161,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09385,,helix-turn-helix domain-containing protein,+,1998693,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09390,,type II toxin-antitoxin system HipA family toxin,+,1998970,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09395,,hypothetical protein,+,2000385,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09400,,hypothetical protein,+,2000662,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09405,,hypothetical protein,+,2001228,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09410,,"IS256 family transposase, variant Zn-binding type",+,2001806,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09415,,hypothetical protein,+,2002835,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09420,rpoB,DNA-directed RNA polymerase subunit beta,+,2003804,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09425,rpoC,DNA-directed RNA polymerase subunit beta',+,2007958,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09430,,hypothetical protein,+,2012302,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09435,vapB,type II toxin-antitoxin system VapB family antitoxin,+,2014453,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09440,vapC,type II toxin-antitoxin system tRNA(fMet)-specific endonuclease VapC,+,2014683,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09445,,DUF417 family protein,-,2015632,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09450,,DUF2202 domain-containing protein,+,2015879,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09455,,hypothetical protein,-,2017263,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09460,,hypothetical protein,-,2018334,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09465,hslU,HslU--HslV peptidase ATPase subunit,-,2019728,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09470,hslV,ATP-dependent protease subunit HslV,-,2020515,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09480,gloA2,SMU1112c/YaeR family gloxylase I-like metalloprotein,-,2022004,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09485,mutY,A/G-specific adenine glycosylase,+,2022102,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09490,,oxidative damage protection protein,+,2023251,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09495,mltC,membrane-bound lytic murein transglycosylase MltC,+,2023544,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09530,,DnaB-like helicase N-terminal domain-containing protein,+,2026166,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09535,,conjugal transfer nickase/helicase domain-containing protein,+,2026470,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09540,,tyrosine-type recombinase/integrase,+,2026852,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09560,,"IS256 family transposase, variant Zn-binding type",-,2031229,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09565,,peptidase domain-containing ABC transporter,-,2033503,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09570,,HlyD family secretion protein,-,2034449,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09585,ffh,signal recognition particle protein,+,2035981,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09590,,bifunctional metallophosphatase/5'-nucleotidase,-,2039191,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09595,,FAD-dependent oxidoreductase,-,2040549,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09600,,YifB family Mg chelatase-like AAA ATPase,+,2040755,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09605,,HupA family protein,+,2042404,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09610,menH,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",-,2044313,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09615,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase,-,2046019,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09620,,SGNH/GDSL hydrolase family protein,+,2046272,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09625,,N-acetylmannosamine-6-phosphate 2-epimerase,+,2046903,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09630,,N-acetylmannosamine kinase,+,2047602,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09640,nagB,glucosamine-6-phosphate deaminase,+,2049423,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09645,nagA,N-acetylglucosamine-6-phosphate deacetylase,+,2050278,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09650,fumC,class II fumarate hydratase,-,2052967,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09655,,TfoX/Sxy family DNA transformation protein,-,2053778,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09660,rpsJ,30S ribosomal protein S10,+,2054186,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09665,rplC,50S ribosomal protein L3,+,2054523,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09670,rplD,50S ribosomal protein L4,+,2055165,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09675,rplW,50S ribosomal protein L23,+,2055764,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09680,rplB,50S ribosomal protein L2,+,2056090,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09685,rpsS,30S ribosomal protein S19,+,2056939,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09690,rplV,50S ribosomal protein L22,+,2057225,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09695,rpsC,30S ribosomal protein S3,+,2057576,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09700,rplP,50S ribosomal protein L16,+,2058297,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09705,rpmC,50S ribosomal protein L29,+,2058707,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09710,rpsQ,30S ribosomal protein S17,+,2058898,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09715,rplN,50S ribosomal protein L14,+,2059392,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09720,rplX,50S ribosomal protein L24,+,2059774,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09725,rplE,50S ribosomal protein L5,+,2060103,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09730,rpsN,30S ribosomal protein S14,+,2060654,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09735,rpsH,30S ribosomal protein S8,+,2060996,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09740,rplF,50S ribosomal protein L6,+,2061405,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09745,rplR,50S ribosomal protein L18,+,2061953,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09750,rpsE,30S ribosomal protein S5,+,2062321,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09760,rplO,50S ribosomal protein L15,+,2063012,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09765,secY,preprotein translocase subunit SecY,+,2063450,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09770,rpmJ,50S ribosomal protein L36,+,2064798,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09775,rpsM,30S ribosomal protein S13,+,2065048,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09780,rpsK,30S ribosomal protein S11,+,2065421,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09785,rpsD,30S ribosomal protein S4,+,2065839,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09790,,DNA-directed RNA polymerase subunit alpha,+,2066531,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09795,rplQ,50S ribosomal protein L17,+,2067556,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09800,rpsP,30S ribosomal protein S16,+,2068176,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09805,rimM,ribosome maturation factor RimM,+,2068458,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09810,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,+,2069043,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09815,rplS,50S ribosomal protein L19,+,2069824,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09820,,ribosomal protein uL16 3-hydroxylase,-,2071537,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09825,,ABC transporter substrate-binding protein,+,2071753,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09830,,FecCD family ABC transporter permease,+,2072871,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09835,,ABC transporter ATP-binding protein,+,2073924,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09840,,pseudoazurin,+,2074701,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09845,,ABC transporter substrate-binding protein,+,2075141,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09850,,ATP-grasp domain-containing protein,+,2076306,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09855,torD,molecular chaperone TorD,-,2077798,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09860,torA,trimethylamine-N-oxide reductase TorA,-,2080281,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09865,,hypothetical protein,-,2080911,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09870,glyQ,glycine--tRNA ligase subunit alpha,+,2081105,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09875,,endonuclease domain-containing protein,+,2082074,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09880,,hypothetical protein,+,2082918,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09885,glyS,glycine--tRNA ligase subunit beta,+,2083360,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09890,,methyltransferase domain-containing protein,+,2085560,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09895,,DUF5377 family protein,+,2086467,1,1,FALSE,TRUE,TRUE,-33
background,MIDG2331_RS09900,xerC,tyrosine recombinase XerC,+,2086848,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09905,,YbaN family protein,-,2088161,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09910,,glycosyltransferase family 2 protein,-,2089016,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09915,lpxH,"UDP-2,3-diacylglucosamine diphosphatase",-,2089711,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09920,,DUF1523 family protein,-,2090301,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09925,,TatD family hydrolase,-,2091124,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09930,,"IS256 family transposase, variant Zn-binding type",+,2091872,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09935,,MacB family efflux pump subunit,-,2094811,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09940,,efflux RND transporter periplasmic adaptor subunit,-,2095974,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09945,,MipA/OmpV family protein,-,2096883,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09950,,DNA polymerase III subunit delta',-,2098220,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09955,tmk,dTMP kinase,-,2098849,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09960,mltG,endolytic transglycosylase MltG,-,2099887,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09980,acpP,acyl carrier protein,-,2100719,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09985,rpe,ribulose-phosphate 3-epimerase,-,2101657,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09990,,type B 50S ribosomal protein L31,+,2101879,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS09995,ykgO,type B 50S ribosomal protein L36,+,2102162,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10000,mrcB,penicillin-binding protein 1B,-,2104794,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10005,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",-,2105730,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10010,,RelA/SpoT family protein,-,2107571,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10015,rpoZ,DNA-directed RNA polymerase subunit omega,-,2107948,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10020,recG,ATP-dependent DNA helicase RecG,-,2110156,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10025,,type II toxin-antitoxin system VapC family toxin,-,2110708,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10030,,type II toxin-antitoxin system Phd/YefM family antitoxin,-,2110995,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10035,proS,proline--tRNA ligase,+,2111201,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10040,,anti-sigma factor family protein,-,2113170,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10045,,sigma-70 family RNA polymerase sigma factor,-,2113754,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10050,msrP,protein-methionine-sulfoxide reductase catalytic subunit MsrP,+,2113843,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10055,,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,+,2114799,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10060,rpoH,RNA polymerase sigma factor RpoH,-,2116453,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10065,,MFS transporter,-,2117939,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10070,,hypothetical protein,+,2118514,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10075,,type II toxin-antitoxin system YafO family toxin,+,2119029,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10080,asnA,aspartate--ammonia ligase,-,2120531,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10085,asnC,transcriptional regulator AsnC,+,2120713,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10090,udp,uridine phosphorylase,+,2121363,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10095,,chorismate--pyruvate lyase family protein,+,2122191,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10100,murI,glutamate racemase,+,2122757,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10130,cysI,assimilatory sulfite reductase (NADPH) hemoprotein subunit,-,2131503,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10135,,assimilatory sulfite reductase (NADPH) flavoprotein subunit,-,2133342,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10140,,sulfate adenylyltransferase subunit 1,-,2134935,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10145,cysD,sulfate adenylyltransferase subunit CysD,-,2135953,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10150,,phosphoadenylyl-sulfate reductase,-,2136702,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10155,cysG,siroheme synthase CysG,-,2138176,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10160,,sulfate ABC transporter substrate-binding protein,+,2138451,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10165,cysT,sulfate ABC transporter permease subunit CysT,+,2139475,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10170,cysW,sulfate ABC transporter permease subunit CysW,+,2140306,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10175,,sulfate/molybdate ABC transporter ATP-binding protein,+,2141131,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10180,lldD,FMN-dependent L-lactate dehydrogenase LldD,-,2143435,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10185,,biotin--[acetyl-CoA-carboxylase] ligase,-,2144383,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10190,murB,UDP-N-acetylmuramate dehydrogenase,-,2145426,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10195,ompA,porin OmpA,-,2146670,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10205,,paraquat-inducible protein A,+,2148776,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10210,,transglutaminase-like domain-containing protein,+,2150194,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10215,,mercuric transporter MerT family protein,+,2151266,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10220,,heavy-metal-associated domain-containing protein,+,2151616,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10225,,iron-containing alcohol dehydrogenase,-,2153342,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10230,,LysR family transcriptional regulator,+,2153458,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10240,aroQ,type II 3-dehydroquinate dehydratase,+,2155453,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10245,,glycosyltransferase family 32 protein,+,2155910,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10250,accB,acetyl-CoA carboxylase biotin carboxyl carrier protein,+,2156869,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10255,accC,acetyl-CoA carboxylase biotin carboxylase subunit,+,2157486,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10260,mobA,molybdenum cofactor guanylyltransferase MobA,-,2159963,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10265,,YihD family protein,+,2160050,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10270,dsbA,thiol:disulfide interchange protein DsbA,+,2160363,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10280,ftsN,cell division protein FtsN,-,2162704,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10285,,class I SAM-dependent methyltransferase,-,2163571,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10290,,M15 family metallopeptidase,-,2164257,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10300,,ArsC family reductase,-,2165782,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10305,,DUF5358 family protein,+,2165990,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10310,folP,dihydropteroate synthase,-,2167596,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10315,rluC,23S rRNA pseudouridine(955/2504/2580) synthase RluC,-,2168623,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10320,,TonB-dependent receptor plug domain-containing protein,+,2169016,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10325,,mechanosensitive ion channel family protein,+,2171490,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10330,,ATP-grasp domain-containing protein,+,2172597,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10335,,esterase family protein,+,2173787,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10340,ptrA,pitrilysin,-,2177555,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10345,recC,exodeoxyribonuclease V subunit gamma,-,2180908,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10350,,DUF5374 domain-containing protein,-,2181309,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10355,,DUF2572 family protein,-,2181955,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10360,,hypothetical protein,-,2182597,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10365,,pilus assembly FimT family protein,-,2183153,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10370,fabA,bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase,-,2183771,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10375,,AAA family ATPase,-,2185519,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10380,matP,macrodomain Ter protein MatP,+,2185604,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10385,trpS,tryptophan--tRNA ligase,-,2187150,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10390,,phosphoglycolate phosphatase,-,2187955,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10400,lgt,prolipoprotein diacylglyceryl transferase,-,2189308,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10405,,sulfite exporter TauE/SafE family protein,-,2190152,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10410,rppH,RNA pyrophosphohydrolase,-,2190769,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10415,,M48 family metallopeptidase,-,2192082,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10420,ppa,inorganic diphosphatase,-,2192705,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10425,,tRNA1(Val) (adenine(37)-N6)-methyltransferase,+,2192779,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10430,rraA,ribonuclease E activity regulator RraA,-,2194033,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10435,,formate/nitrite transporter family protein,+,2194252,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10440,,alpha/beta hydrolase,+,2195217,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10455,,"IS256 family transposase, variant Zn-binding type",-,2198505,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10460,dnaJ,molecular chaperone DnaJ,-,2199771,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10470,xylB,xylulokinase,-,2203619,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10475,xylA,xylose isomerase,-,2205136,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10480,xylF,D-xylose ABC transporter substrate-binding protein,+,2205390,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10485,xylG,D-xylose ABC transporter ATP-binding protein,+,2206452,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10490,,sugar ABC transporter permease,+,2207970,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10495,,XylR family transcriptional regulator,+,2209222,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10500,,M13 family metallopeptidase,+,2210408,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10505,,zinc ribbon domain-containing protein,+,2212510,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10515,,YhdT family protein,-,2214462,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10520,metJ,met regulon transcriptional regulator MetJ,-,2214833,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10525,,MlaA family lipoprotein,+,2215001,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10530,,D-hexose-6-phosphate mutarotase,+,2215825,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10535,,site-specific recombinase,+,2216745,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10540,pgaA,"poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA",+,2219484,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10545,pgaB,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB",+,2221973,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10550,pgaC,"poly-beta-1,6-N-acetyl-D-glucosamine synthase",+,2223754,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10555,,hypothetical protein,+,2224991,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10560,tpiA,triose-phosphate isomerase,-,2226149,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10565,truD,tRNA pseudouridine(13) synthase TruD,+,2226424,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10570,surE,5'/3'-nucleotidase SurE,+,2227437,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10575,,YqaA family protein,+,2228201,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10580,,LysM peptidoglycan-binding domain-containing protein,+,2228791,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10585,,hypothetical protein,+,2229458,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10590,,peptidoglycan DD-metalloendopeptidase family protein,+,2229689,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10595,,DNA-3-methyladenine glycosylase I,+,2231016,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10605,,YjiG family protein,-,2233237,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10610,,nucleoside recognition domain-containing protein,-,2233872,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10615,hemH,ferrochelatase,-,2235009,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10620,rpmH,50S ribosomal protein L34,+,2235285,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10625,rnpA,ribonuclease P protein component,+,2235452,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10630,yidD,membrane protein insertion efficiency factor YidD,+,2235775,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10635,glnA,type I glutamate--ammonia ligase,-,2237546,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10640,cpdA,"3',5'-cyclic-AMP phosphodiesterase",-,2238731,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10645,nudF,ADP-ribose diphosphatase,-,2239561,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10650,psiE,phosphate-starvation-inducible protein PsiE,-,2239990,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10655,,4'-phosphopantetheinyl transferase family protein,-,2240711,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10660,,EamA family transporter,-,2241199,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10665,nhaA,Na+/H+ antiporter NhaA,+,2241377,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10675,dtd,D-aminoacyl-tRNA deacylase,-,2243662,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10680,,virulence factor BrkB family protein,-,2244489,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10700,,transferrin-binding protein-like solute binding protein,-,2249350,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10705,,transferrin-binding protein-like solute binding protein,-,2250714,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS10710,mutL,DNA mismatch repair endonuclease MutL,+,2251028,0,,FALSE,FALSE,FALSE,
