reference_locus,gene,annotation
MIDG2331_RS07180,,DNA topoisomerase III
MIDG2331_RS07185,,plasmid fertility inhibition factor family protein
MIDG2331_RS07190,,membrane lipoprotein lipid attachment site-containing protein
MIDG2331_RS07195,,single-stranded DNA-binding protein
MIDG2331_RS07200,,DUF3158 family protein
MIDG2331_RS07205,,PFL_4669 family integrating conjugative element protein
MIDG2331_RS07215,,STY4528 family pathogenicity island replication protein
MIDG2331_RS07220,,DUF2857 domain-containing protein
MIDG2331_RS07225,,ParB family protein
MIDG2331_RS07230,dnaB,replicative DNA helicase
MIDG2331_RS07235,,ParA family protein
MIDG2331_RS07265,mfd,transcription-repair coupling factor
MIDG2331_RS07270,pepN,aminopeptidase N
MIDG2331_RS07275,plsY,glycerol-3-phosphate 1-O-acyltransferase PlsY
MIDG2331_RS07280,folB,dihydroneopterin aldolase
MIDG2331_RS07285,cdd,cytidine deaminase
MIDG2331_RS07290,ftsX,permease-like cell division protein FtsX
MIDG2331_RS07295,ftsE,cell division ATP-binding protein FtsE
MIDG2331_RS07300,ftsY,signal recognition particle-docking protein FtsY
MIDG2331_RS07305,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
MIDG2331_RS07310,,HI1450 family dsDNA-mimic protein
MIDG2331_RS07315,hpaC,"4-hydroxyphenylacetate 3-monooxygenase, reductase component"
MIDG2331_RS07320,tehB,SAM-dependent methyltransferase TehB
MIDG2331_RS07325,artM,arginine ABC transporter permease ArtM
MIDG2331_RS07330,artQ,arginine ABC transporter permease ArtQ
MIDG2331_RS07335,,transporter substrate-binding domain-containing protein
MIDG2331_RS07340,artP,arginine ABC transporter ATP-binding protein ArtP
MIDG2331_RS07345,,YbhB/YbcL family Raf kinase inhibitor-like protein
MIDG2331_RS07350,,calcium/sodium antiporter
MIDG2331_RS07355,,helix-turn-helix domain-containing protein
MIDG2331_RS07360,,type II toxin-antitoxin system RelE/ParE family toxin
MIDG2331_RS07365,,protein-disulfide reductase DsbD
MIDG2331_RS07370,,elongation factor P hydroxylase
MIDG2331_RS07375,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase
MIDG2331_RS07380,,penicillin-binding protein activator
MIDG2331_RS07385,,YraN family protein
MIDG2331_RS07390,,D-sedoheptulose-7-phosphate isomerase
MIDG2331_RS07395,dolP,division/outer membrane stress-associated lipid-binding lipoprotein
MIDG2331_RS07400,mltF,membrane-bound lytic murein transglycosylase MltF
MIDG2331_RS07420,,heme lyase CcmF/NrfE family subunit
MIDG2331_RS07425,ccmE,cytochrome c maturation protein CcmE
MIDG2331_RS07430,ccmD,heme exporter protein CcmD
MIDG2331_RS07435,,heme ABC transporter permease
MIDG2331_RS07440,ccmB,heme exporter protein CcmB
MIDG2331_RS07445,ccmA,cytochrome c biogenesis heme-transporting ATPase CcmA
MIDG2331_RS07450,hda,DnaA regulatory inactivator Hda
MIDG2331_RS07480,,DUF5718 family protein
MIDG2331_RS07485,,oxaloacetate decarboxylase subunit gamma
MIDG2331_RS07490,oadA,sodium-extruding oxaloacetate decarboxylase subunit alpha
MIDG2331_RS07495,,sodium ion-translocating decarboxylase subunit beta
MIDG2331_RS07500,,zinc ribbon domain-containing protein YjdM
MIDG2331_RS07505,,cytochrome c peroxidase
MIDG2331_RS07510,yggU,DUF167 family protein YggU
MIDG2331_RS07515,,YggT family protein
MIDG2331_RS07520,,YggL family protein
MIDG2331_RS07525,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB
MIDG2331_RS07530,,beta-ketoacyl-ACP synthase III
MIDG2331_RS07535,plsX,phosphate acyltransferase PlsX
MIDG2331_RS07540,rpmF,50S ribosomal protein L32
MIDG2331_RS07545,yceD,23S rRNA accumulation protein YceD
MIDG2331_RS07550,,cytochrome C assembly family protein
MIDG2331_RS07555,,HlyC/CorC family transporter
MIDG2331_RS07560,,sodium-dependent transporter
MIDG2331_RS07565,manX,PTS mannose transporter subunit IIAB
MIDG2331_RS07570,,PTS mannose/fructose/sorbose transporter subunit IIC
MIDG2331_RS07575,,PTS mannose transporter subunit IID
MIDG2331_RS07580,,DUF986 family protein
MIDG2331_RS07585,manA,"mannose-6-phosphate isomerase, class I"
MIDG2331_RS07590,,hypothetical protein
MIDG2331_RS07595,apxID,RTX toxin T1SS ABC transporter adaptor subunit ApxID
MIDG2331_RS07600,apxIB,RTX toxin T1SS ABC transporter permease/ATPase subunit ApxIB
MIDG2331_RS07605,,hypothetical protein
MIDG2331_RS07610,,ABC transporter substrate-binding protein
MIDG2331_RS07615,,ABC transporter permease
MIDG2331_RS07620,fbpC,ferric ABC transporter ATP-binding protein
MIDG2331_RS07625,mpl,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase
MIDG2331_RS07630,fbp,class 1 fructose-bisphosphatase
MIDG2331_RS07635,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS07640,tuf,elongation factor Tu
MIDG2331_RS07645,fusA,elongation factor G
MIDG2331_RS07650,rpsG,30S ribosomal protein S7
MIDG2331_RS07655,rpsL,30S ribosomal protein S12
MIDG2331_RS07660,rfaC,lipopolysaccharide heptosyltransferase RfaC
MIDG2331_RS07665,waaF,lipopolysaccharide heptosyltransferase II
MIDG2331_RS07670,,MliC family protein
MIDG2331_RS07675,,LysM-like peptidoglycan-binding domain-containing protein
MIDG2331_RS07680,,ComEA family DNA-binding protein
MIDG2331_RS07685,asd,archaetidylserine decarboxylase
MIDG2331_RS07690,hsdR,EcoAI/FtnUII family type I restriction enzme subunit R
MIDG2331_RS07695,,class I SAM-dependent DNA methyltransferase
MIDG2331_RS07700,,virulence RhuM family protein
MIDG2331_RS07705,,restriction endonuclease subunit S
MIDG2331_RS07710,,tyrosine-type recombinase/integrase
MIDG2331_RS07715,,restriction endonuclease subunit S
MIDG2331_RS07720,gshAB,bifunctional glutamate--cysteine ligase GshA/glutathione synthetase GshB
MIDG2331_RS07725,,MerR family transcriptional regulator
MIDG2331_RS07730,,aromatic amino acid transporter
MIDG2331_RS07735,,YfcZ/YiiS family protein
MIDG2331_RS07740,,aldo/keto reductase
MIDG2331_RS07745,,AMP-dependent synthetase/ligase
MIDG2331_RS07750,mqo,malate dehydrogenase (quinone)
MIDG2331_RS07755,,hypothetical protein
MIDG2331_RS07760,,glycine zipper 2TM domain-containing protein
MIDG2331_RS07765,,PACE efflux transporter
MIDG2331_RS07770,mglC,galactose/methyl galactoside ABC transporter permease MglC
MIDG2331_RS07775,mglA,galactose/methyl galactoside ABC transporter ATP-binding protein MglA
MIDG2331_RS07780,mglB,galactose/glucose ABC transporter substrate-binding protein MglB
MIDG2331_RS07785,ompA,porin OmpA
MIDG2331_RS07790,ydiJ,D-2-hydroxyglutarate dehydrogenase YdiJ
MIDG2331_RS07795,,hotdog fold thioesterase
MIDG2331_RS07800,yidC,membrane protein insertase YidC
MIDG2331_RS07805,,cytochrome c3 family protein
MIDG2331_RS07810,,nitrate reductase cytochrome c-type subunit
MIDG2331_RS07815,napH,quinol dehydrogenase ferredoxin subunit NapH
MIDG2331_RS07820,napG,ferredoxin-type protein NapG
MIDG2331_RS07825,napA,nitrate reductase catalytic subunit NapA
MIDG2331_RS07830,,chaperone NapD
MIDG2331_RS07835,napF,ferredoxin-type protein NapF
MIDG2331_RS07840,,NAD(P)H-dependent oxidoreductase
MIDG2331_RS07855,,hypothetical protein
MIDG2331_RS07860,rne,ribonuclease E
MIDG2331_RS07865,,RsiV family protein
MIDG2331_RS07870,,isoprenylcysteine carboxyl methyltransferase family protein
MIDG2331_RS07875,ubiD,4-hydroxy-3-polyprenylbenzoate decarboxylase
MIDG2331_RS07880,znuA,zinc ABC transporter substrate-binding protein ZnuA
MIDG2331_RS07885,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS07890,,glutathione peroxidase
MIDG2331_RS07895,oxyR,DNA-binding transcriptional regulator OxyR
MIDG2331_RS07900,fabR,HTH-type transcriptional repressor FabR
MIDG2331_RS07905,,protein disulfide oxidoreductase
MIDG2331_RS07910,rnr,ribonuclease R
MIDG2331_RS07915,,hypothetical protein
MIDG2331_RS07920,tyrS,tyrosine--tRNA ligase
MIDG2331_RS07925,rpoD,RNA polymerase sigma factor RpoD
MIDG2331_RS07930,dnaG,DNA primase
MIDG2331_RS07935,rpsU,30S ribosomal protein S21
MIDG2331_RS07940,rfbB,"dTDP-glucose 4,6-dehydratase"
MIDG2331_RS07945,,acyltransferase
MIDG2331_RS07950,,acyltransferase family protein
MIDG2331_RS07955,,acyltransferase family protein
MIDG2331_RS07960,,sugar transferase
MIDG2331_RS07965,glf,UDP-galactopyranose mutase
MIDG2331_RS07970,,flippase
MIDG2331_RS07975,,O-antigen polymerase
MIDG2331_RS07980,,sugar transferase
MIDG2331_RS07985,,glycosyltransferase family 2 protein
MIDG2331_RS07990,,glycosyltransferase
MIDG2331_RS07995,,DUF4422 domain-containing protein
MIDG2331_RS08000,,LPS O-antigen chain length determinant protein WzzB
MIDG2331_RS08005,erpA,iron-sulfur cluster insertion protein ErpA
MIDG2331_RS08010,,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
MIDG2331_RS08015,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO
MIDG2331_RS08020,,SIMPL domain-containing protein
MIDG2331_RS08025,aqpZ,aquaporin Z
MIDG2331_RS08030,slyD,peptidylprolyl isomerase
MIDG2331_RS08035,ilvA,"threonine ammonia-lyase, biosynthetic"
MIDG2331_RS08040,glmM,phosphoglucosamine mutase
MIDG2331_RS08045,rpiA,ribose-5-phosphate isomerase RpiA
MIDG2331_RS08050,serA,phosphoglycerate dehydrogenase
MIDG2331_RS08055,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS08060,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS08065,pdxY,pyridoxal kinase PdxY
MIDG2331_RS08075,accA,acetyl-CoA carboxylase carboxyl transferase subunit alpha
MIDG2331_RS08080,,multicopper oxidase domain-containing protein
MIDG2331_RS08085,,1-acylglycerol-3-phosphate O-acyltransferase
MIDG2331_RS08090,tpx,thiol peroxidase
MIDG2331_RS08095,mnmE,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
MIDG2331_RS08100,,PFL family protein
MIDG2331_RS08105,,ACT domain-containing protein
MIDG2331_RS08110,,pirin family protein
MIDG2331_RS08115,,Dps family protein
MIDG2331_RS08120,,helix-turn-helix domain-containing protein
MIDG2331_RS08125,,patatin-like phospholipase family protein
MIDG2331_RS08130,yccS,YccS family putative transporter
MIDG2331_RS08135,mgsA,methylglyoxal synthase
MIDG2331_RS08140,thrC,threonine synthase
MIDG2331_RS08155,,valine--tRNA ligase
MIDG2331_RS08160,,phospholipase D-like domain-containing protein
MIDG2331_RS08170,,UPF0149 family protein
MIDG2331_RS08175,,GNAT family N-acetyltransferase
MIDG2331_RS08180,,DNA polymerase III subunit chi
MIDG2331_RS08185,lysM,peptidoglycan-binding protein LysM
MIDG2331_RS08190,tig,trigger factor
MIDG2331_RS08195,,rhodanese-like domain-containing protein
MIDG2331_RS08200,secB,protein-export chaperone SecB
MIDG2331_RS08205,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
MIDG2331_RS08210,cysE,serine O-acetyltransferase
MIDG2331_RS08215,tuf,elongation factor Tu
MIDG2331_RS08240,coaA,type I pantothenate kinase
MIDG2331_RS08245,,DsbE family thiol:disulfide interchange protein
MIDG2331_RS08250,,cytochrome c-type biogenesis protein
MIDG2331_RS08255,ccmI,c-type cytochrome biogenesis protein CcmI
MIDG2331_RS08260,mog,molybdopterin adenylyltransferase
MIDG2331_RS08265,glnB,nitrogen regulatory protein P-II
MIDG2331_RS08270,lspA,signal peptidase II
MIDG2331_RS08275,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MIDG2331_RS08280,,FAD assembly factor SdhE
MIDG2331_RS08285,,NAD(P)-dependent oxidoreductase
MIDG2331_RS08290,hutW,heme anaerobic degradation radical SAM methyltransferase ChuW/HutW
MIDG2331_RS08295,,glutathione S-transferase family protein
MIDG2331_RS08300,lysA,diaminopimelate decarboxylase
MIDG2331_RS08305,frdD,fumarate reductase subunit FrdD
MIDG2331_RS08310,frdC,fumarate reductase subunit FrdC
MIDG2331_RS08315,,succinate dehydrogenase/fumarate reductase iron-sulfur subunit
MIDG2331_RS08320,frdA,fumarate reductase (quinol) flavoprotein subunit
MIDG2331_RS08325,epmA,elongation factor P--(R)-beta-lysine ligase
MIDG2331_RS08330,dapF,diaminopimelate epimerase
MIDG2331_RS08335,,anaerobic C4-dicarboxylate transporter
MIDG2331_RS08340,,fluoride efflux transporter FluC
MIDG2331_RS08345,,MFS transporter
MIDG2331_RS08350,,anhydro-N-acetylmuramic acid kinase
MIDG2331_RS08355,murQ,N-acetylmuramic acid 6-phosphate etherase
MIDG2331_RS08360,prmA,50S ribosomal protein L11 methyltransferase
MIDG2331_RS08365,,GNAT family N-acetyltransferase
MIDG2331_RS08370,,type II toxin-antitoxin system TacA family antitoxin
MIDG2331_RS08375,tldD,metalloprotease TldD
MIDG2331_RS08380,tilS,tRNA lysidine(34) synthetase TilS
MIDG2331_RS08385,,DUF5389 family protein
MIDG2331_RS08390,xerD,site-specific tyrosine recombinase XerD
MIDG2331_RS08450,wecG,lipopolysaccharide N-acetylmannosaminouronosyltransferase
MIDG2331_RS08455,wzyE,ECA oligosaccharide polymerase
MIDG2331_RS08460,,TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
MIDG2331_RS08465,hcp,hydroxylamine reductase
MIDG2331_RS08470,hcr,NADH oxidoreductase
MIDG2331_RS08475,wzxE,lipid III flippase WzxE
MIDG2331_RS08480,rffA,"dTDP-4-amino-4,6-dideoxygalactose transaminase"
MIDG2331_RS08485,rffC,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase"
MIDG2331_RS08490,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase
MIDG2331_RS08495,wecB,non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase
MIDG2331_RS08500,,transporter
MIDG2331_RS08505,wecA,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase
MIDG2331_RS08510,hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
MIDG2331_RS08515,,MFS transporter
MIDG2331_RS08520,murJ,murein biosynthesis integral membrane protein MurJ
MIDG2331_RS08525,rpsT,30S ribosomal protein S20
MIDG2331_RS08530,trkA,Trk system potassium transporter TrkA
MIDG2331_RS08535,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB
MIDG2331_RS08540,selB,selenocysteine-specific translation elongation factor
MIDG2331_RS08545,selA,L-seryl-tRNA(Sec) selenium transferase
MIDG2331_RS08555,mioC,FMN-binding protein MioC
MIDG2331_RS08560,,FGGY-family carbohydrate kinase
MIDG2331_RS08565,,SMP-30/gluconolactonase/LRE family protein
MIDG2331_RS08570,,hypothetical protein
MIDG2331_RS08575,,lactoferrin/transferrin family TonB-dependent receptor
MIDG2331_RS08580,,transferrin-binding protein-like solute binding protein
MIDG2331_RS08585,,ExbD/TolR family protein
MIDG2331_RS08590,,MotA/TolQ/ExbB proton channel family protein
MIDG2331_RS08595,,energy transducer TonB
MIDG2331_RS08600,,LysO family transporter
MIDG2331_RS08605,yiaK,3-dehydro-L-gulonate 2-dehydrogenase
MIDG2331_RS08615,,RBBP9/YdeN family alpha/beta hydrolase
MIDG2331_RS08620,,diaminopimelate decarboxylase family protein
MIDG2331_RS08625,,hypothetical protein
MIDG2331_RS08630,,prolyl oligopeptidase family serine peptidase
MIDG2331_RS08635,,hypothetical protein
MIDG2331_RS08640,,glycosyltransferase family 2 protein
MIDG2331_RS08645,,CDP-glycerol glycerophosphotransferase family protein
MIDG2331_RS08650,,LicD family protein
MIDG2331_RS08655,tagD,glycerol-3-phosphate cytidylyltransferase
MIDG2331_RS08660,,CDP-glycerol glycerophosphotransferase family protein
MIDG2331_RS08665,,polysaccharide biosynthesis/export family protein
MIDG2331_RS08670,,capsule biosynthesis protein
MIDG2331_RS08675,,ABC transporter permease
MIDG2331_RS08680,,ABC transporter ATP-binding protein
MIDG2331_RS08685,modF,molybdate ABC transporter ATP-binding protein ModF
MIDG2331_RS08690,fmt,methionyl-tRNA formyltransferase
MIDG2331_RS08695,,TAXI family TRAP transporter solute-binding subunit
MIDG2331_RS08700,,YigZ family protein
MIDG2331_RS08705,,TrkH family potassium uptake protein
MIDG2331_RS08710,hemG,menaquinone-dependent protoporphyrinogen IX dehydrogenase
MIDG2331_RS08715,mscL,large-conductance mechanosensitive channel protein MscL
MIDG2331_RS08720,lipA,lipoyl synthase
MIDG2331_RS08725,lipB,lipoyl(octanoyl) transferase LipB
MIDG2331_RS08730,ybeD,DUF493 family protein YbeD
MIDG2331_RS08735,,serine hydrolase
MIDG2331_RS08740,,septal ring lytic transglycosylase RlpA family protein
MIDG2331_RS08745,rodA,rod shape-determining protein RodA
MIDG2331_RS08750,mrdA,penicillin-binding protein 2
MIDG2331_RS08755,rlmH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
MIDG2331_RS08760,rsfS,ribosome silencing factor
MIDG2331_RS08765,mutS,DNA mismatch repair protein MutS
MIDG2331_RS08770,,amino acid ABC transporter ATP-binding protein
MIDG2331_RS08775,,amino acid ABC transporter permease
MIDG2331_RS08780,,L-cysteine desulfidase family protein
MIDG2331_RS08785,,hemerythrin domain-containing protein
MIDG2331_RS08790,,DMT family transporter
MIDG2331_RS08795,,YfcZ/YiiS family protein
MIDG2331_RS08800,,tellurite resistance TerB family protein
MIDG2331_RS08805,,putative quinol monooxygenase
MIDG2331_RS08810,,urease accessory protein UreD
MIDG2331_RS08815,ureG,urease accessory protein UreG
MIDG2331_RS08820,,urease accessory protein UreF
MIDG2331_RS08825,ureE,urease accessory protein UreE
MIDG2331_RS08830,,glutathione S-transferase
MIDG2331_RS08835,ureC,urease subunit alpha
MIDG2331_RS08840,ureB,urease subunit beta
MIDG2331_RS08845,ureA,urease subunit gamma
MIDG2331_RS08850,,urea transporter
MIDG2331_RS08855,,energy-coupling factor ABC transporter ATP-binding protein
MIDG2331_RS08860,,energy-coupling factor transporter transmembrane component T family protein
MIDG2331_RS08865,cbiM,cobalt transporter CbiM
MIDG2331_RS08870,,hypothetical protein
MIDG2331_RS08875,,DUF4198 domain-containing protein
MIDG2331_RS08880,,LysR family transcriptional regulator
MIDG2331_RS08885,,nuclear transport factor 2 family protein
MIDG2331_RS08890,,SLC13 family permease
MIDG2331_RS08895,,MltR family transcriptional regulator
MIDG2331_RS08900,,mannitol-1-phosphate 5-dehydrogenase
MIDG2331_RS08905,,PTS mannitol transporter subunit IICBA
MIDG2331_RS08910,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing)
MIDG2331_RS08915,,DeoR/GlpR family DNA-binding transcription regulator
MIDG2331_RS08920,,glycine zipper 2TM domain-containing protein
MIDG2331_RS08925,,"alpha-1,6-glucosyltransferase"
MIDG2331_RS08930,,UDP-glucose:protein N-beta-glucosyltransferase
MIDG2331_RS08935,rimO,30S ribosomal protein S12 methylthiotransferase RimO
MIDG2331_RS08940,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
MIDG2331_RS08945,,thiol:disulfide interchange protein DsbA/DsbL
MIDG2331_RS08950,,SlyX family protein
MIDG2331_RS08955,fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase
MIDG2331_RS08960,,helix-turn-helix transcriptional regulator
MIDG2331_RS08965,tusD,sulfurtransferase complex subunit TusD
MIDG2331_RS08970,tusC,sulfurtransferase complex subunit TusC
MIDG2331_RS08975,tusB,sulfurtransferase complex subunit TusB
MIDG2331_RS09000,,F0F1 ATP synthase subunit epsilon
MIDG2331_RS09005,atpD,F0F1 ATP synthase subunit beta
MIDG2331_RS09010,atpG,F0F1 ATP synthase subunit gamma
MIDG2331_RS09015,atpA,F0F1 ATP synthase subunit alpha
MIDG2331_RS09020,atpH,F0F1 ATP synthase subunit delta
MIDG2331_RS09025,atpF,F0F1 ATP synthase subunit B
MIDG2331_RS09030,atpE,F0F1 ATP synthase subunit C
MIDG2331_RS09035,atpB,F0F1 ATP synthase subunit A
MIDG2331_RS09040,,ATP synthase subunit I
MIDG2331_RS09045,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
MIDG2331_RS09050,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
MIDG2331_RS09055,,Cof-type HAD-IIB family hydrolase
MIDG2331_RS09060,,amino acid ABC transporter substrate-binding protein
MIDG2331_RS09065,,YchJ family protein
MIDG2331_RS09070,,hypothetical protein
MIDG2331_RS09075,manZ,PTS mannose transporter subunit IID
MIDG2331_RS09080,,PTS mannose/fructose/sorbose transporter subunit IIC
MIDG2331_RS09085,,mannose/fructose/sorbose PTS transporter subunit IIA
MIDG2331_RS09090,,GntP family permease
MIDG2331_RS09095,,gluconokinase
MIDG2331_RS09100,gntR,gluconate operon transcriptional repressor GntR
MIDG2331_RS09105,,substrate-binding domain-containing protein
MIDG2331_RS09110,rbsD,D-ribose pyranase
MIDG2331_RS09115,rbsA,ribose ABC transporter ATP-binding protein RbsA
MIDG2331_RS09120,rbsC,ribose ABC transporter permease
MIDG2331_RS09125,rbsB,ribose ABC transporter substrate-binding protein RbsB
MIDG2331_RS09130,rbsK,ribokinase
MIDG2331_RS09135,,DMSO/selenate family reductase complex A subunit
MIDG2331_RS09140,,DMSO/selenate family reductase complex B subunit
MIDG2331_RS09145,,DmsC/YnfH family molybdoenzyme membrane anchor subunit
MIDG2331_RS09150,dmsD,Tat proofreading chaperone DmsD
MIDG2331_RS09155,napF,ferredoxin-type protein NapF
MIDG2331_RS09160,,class I SAM-dependent methyltransferase
MIDG2331_RS09175,,DUF6037 family protein
MIDG2331_RS09180,purL,phosphoribosylformylglycinamidine synthase
MIDG2331_RS09185,,DeoR/GlpR family DNA-binding transcription regulator
MIDG2331_RS09190,fucI,L-fucose isomerase
MIDG2331_RS09195,fucK,L-fuculokinase
MIDG2331_RS09200,fucU,L-fucose mutarotase
MIDG2331_RS09205,,L-fuculose-phosphate aldolase
MIDG2331_RS09210,fucP,L-fucose:H+ symporter permease
MIDG2331_RS09215,fucO,lactaldehyde reductase
MIDG2331_RS09220,,YagU family protein
MIDG2331_RS09225,,amino acid ABC transporter permease
MIDG2331_RS09230,,amino acid ABC transporter permease
MIDG2331_RS09245,,capsular polysaccharide biosynthesis protein
MIDG2331_RS09250,,capsule biosynthesis protein
MIDG2331_RS09255,,hypothetical protein
MIDG2331_RS09260,,3-keto-L-gulonate-6-phosphate decarboxylase UlaD
MIDG2331_RS09265,,PTS sugar transporter subunit IIA
MIDG2331_RS09270,,PTS ascorbate-specific subunit IIBC
MIDG2331_RS09275,ulaG,L-ascorbate 6-phosphate lactonase
MIDG2331_RS09280,ulaR,HTH-type transcriptional regulator UlaR
MIDG2331_RS09285,,L-ribulose-5-phosphate 3-epimerase
MIDG2331_RS09290,araD,L-ribulose-5-phosphate 4-epimerase
MIDG2331_RS09295,,FKBP-type peptidyl-prolyl cis-trans isomerase
MIDG2331_RS09300,,hypothetical protein
MIDG2331_RS09305,,hypothetical protein
MIDG2331_RS09310,,factor H binding protein domain-containing protein
MIDG2331_RS09320,,surface lipoprotein assembly modifier
MIDG2331_RS09325,rfaD,ADP-glyceromanno-heptose 6-epimerase
MIDG2331_RS09330,def,peptide deformylase
MIDG2331_RS09335,dprA,DNA-processing protein DprA
MIDG2331_RS09340,,OPT family oligopeptide transporter
MIDG2331_RS09345,,PTS ascorbate transporter subunit IIC
MIDG2331_RS09350,,PTS sugar transporter subunit IIB
MIDG2331_RS09355,secE,preprotein translocase subunit SecE
MIDG2331_RS09360,nusG,transcription termination/antitermination protein NusG
MIDG2331_RS09365,rplK,50S ribosomal protein L11
MIDG2331_RS09370,rplA,50S ribosomal protein L1
MIDG2331_RS09375,rplJ,50S ribosomal protein L10
MIDG2331_RS09380,rplL,50S ribosomal protein L7/L12
MIDG2331_RS09385,,helix-turn-helix domain-containing protein
MIDG2331_RS09390,,type II toxin-antitoxin system HipA family toxin
MIDG2331_RS09395,,hypothetical protein
MIDG2331_RS09400,,hypothetical protein
MIDG2331_RS09405,,hypothetical protein
MIDG2331_RS09410,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS09415,,hypothetical protein
MIDG2331_RS09420,rpoB,DNA-directed RNA polymerase subunit beta
MIDG2331_RS09425,rpoC,DNA-directed RNA polymerase subunit beta'
MIDG2331_RS09430,,hypothetical protein
MIDG2331_RS09435,vapB,type II toxin-antitoxin system VapB family antitoxin
MIDG2331_RS09440,vapC,type II toxin-antitoxin system tRNA(fMet)-specific endonuclease VapC
MIDG2331_RS09445,,DUF417 family protein
MIDG2331_RS09450,,DUF2202 domain-containing protein
MIDG2331_RS09455,,hypothetical protein
MIDG2331_RS09460,,hypothetical protein
MIDG2331_RS09465,hslU,HslU--HslV peptidase ATPase subunit
MIDG2331_RS09470,hslV,ATP-dependent protease subunit HslV
MIDG2331_RS09475,sfsA,DNA/RNA nuclease SfsA
MIDG2331_RS09480,gloA2,SMU1112c/YaeR family gloxylase I-like metalloprotein
MIDG2331_RS09485,mutY,A/G-specific adenine glycosylase
MIDG2331_RS09490,,oxidative damage protection protein
MIDG2331_RS09495,mltC,membrane-bound lytic murein transglycosylase MltC
MIDG2331_RS09530,,DnaB-like helicase N-terminal domain-containing protein
MIDG2331_RS09535,,conjugal transfer nickase/helicase domain-containing protein
MIDG2331_RS09540,,tyrosine-type recombinase/integrase
MIDG2331_RS09560,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS09565,,peptidase domain-containing ABC transporter
MIDG2331_RS09570,,HlyD family secretion protein
MIDG2331_RS09585,ffh,signal recognition particle protein
MIDG2331_RS09590,,bifunctional metallophosphatase/5'-nucleotidase
MIDG2331_RS09595,,FAD-dependent oxidoreductase
MIDG2331_RS09600,,YifB family Mg chelatase-like AAA ATPase
MIDG2331_RS09605,,HupA family protein
MIDG2331_RS09610,menH,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase"
MIDG2331_RS09615,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase
MIDG2331_RS09620,,SGNH/GDSL hydrolase family protein
MIDG2331_RS09625,,N-acetylmannosamine-6-phosphate 2-epimerase
MIDG2331_RS09630,,N-acetylmannosamine kinase
MIDG2331_RS09635,nanA,N-acetylneuraminate lyase
MIDG2331_RS09640,nagB,glucosamine-6-phosphate deaminase
MIDG2331_RS09645,nagA,N-acetylglucosamine-6-phosphate deacetylase
MIDG2331_RS09650,fumC,class II fumarate hydratase
MIDG2331_RS09655,,TfoX/Sxy family DNA transformation protein
MIDG2331_RS09660,rpsJ,30S ribosomal protein S10
MIDG2331_RS09665,rplC,50S ribosomal protein L3
MIDG2331_RS09670,rplD,50S ribosomal protein L4
MIDG2331_RS09675,rplW,50S ribosomal protein L23
MIDG2331_RS09680,rplB,50S ribosomal protein L2
MIDG2331_RS09685,rpsS,30S ribosomal protein S19
MIDG2331_RS09690,rplV,50S ribosomal protein L22
MIDG2331_RS09695,rpsC,30S ribosomal protein S3
MIDG2331_RS09700,rplP,50S ribosomal protein L16
MIDG2331_RS09705,rpmC,50S ribosomal protein L29
MIDG2331_RS09710,rpsQ,30S ribosomal protein S17
MIDG2331_RS09715,rplN,50S ribosomal protein L14
MIDG2331_RS09720,rplX,50S ribosomal protein L24
MIDG2331_RS09725,rplE,50S ribosomal protein L5
MIDG2331_RS09730,rpsN,30S ribosomal protein S14
