reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS08600,MIDG2331_01756,,LysO family transporter,-,1843676,1844020
MIDG2331_RS08605,MIDG2331_01757,yiaK,3-dehydro-L-gulonate 2-dehydrogenase,-,1844091,1845090
MIDG2331_RS08615,MIDG2331_01759,,RBBP9/YdeN family alpha/beta hydrolase,+,1845319,1845861
MIDG2331_RS08620,MIDG2331_01760,,diaminopimelate decarboxylase family protein,-,1846144,1846544
MIDG2331_RS08625,MIDG2331_01762,,hypothetical protein,-,1847343,1848254
MIDG2331_RS08630,MIDG2331_01763,,prolyl oligopeptidase family serine peptidase,-,1848335,1850035
MIDG2331_RS08635,MIDG2331_01764,,hypothetical protein,-,1850216,1851463
MIDG2331_RS08640,MIDG2331_01765,,glycosyltransferase family 2 protein,-,1851488,1852522
MIDG2331_RS08645,MIDG2331_01766,,CDP-glycerol glycerophosphotransferase family protein,-,1852535,1855492
MIDG2331_RS08650,MIDG2331_01767,,LicD family protein,-,1855512,1856654
MIDG2331_RS08655,MIDG2331_01768,tagD,glycerol-3-phosphate cytidylyltransferase,-,1856662,1857090
MIDG2331_RS08660,MIDG2331_01769,,CDP-glycerol glycerophosphotransferase family protein,-,1857143,1858285
MIDG2331_RS08665,MIDG2331_01770,,polysaccharide biosynthesis/export family protein,+,1858464,1859651
MIDG2331_RS08670,MIDG2331_01771,,capsule biosynthesis protein,+,1859677,1860834
MIDG2331_RS08675,MIDG2331_01772,,ABC transporter permease,+,1860834,1861631
MIDG2331_RS08680,MIDG2331_01773,,ABC transporter ATP-binding protein,+,1861628,1862278
MIDG2331_RS08685,MIDG2331_01774,modF,molybdate ABC transporter ATP-binding protein ModF,-,1862475,1863932
MIDG2331_RS08690,MIDG2331_01775,fmt,methionyl-tRNA formyltransferase,-,1864025,1864975
MIDG2331_RS08695,MIDG2331_01776,,TAXI family TRAP transporter solute-binding subunit,-,1865138,1866088
MIDG2331_RS08700,MIDG2331_01777,,YigZ family protein,+,1866241,1866867
MIDG2331_RS08705,MIDG2331_01778,,TrkH family potassium uptake protein,+,1866948,1868426
MIDG2331_RS08710,MIDG2331_01779,hemG,menaquinone-dependent protoporphyrinogen IX dehydrogenase,+,1868441,1868968
MIDG2331_RS08715,MIDG2331_01780,mscL,large-conductance mechanosensitive channel protein MscL,+,1869072,1869461
MIDG2331_RS08720,MIDG2331_01781,lipA,lipoyl synthase,-,1869591,1870583
MIDG2331_RS08725,MIDG2331_01782,lipB,lipoyl(octanoyl) transferase LipB,-,1870695,1871351
MIDG2331_RS08730,MIDG2331_01783,ybeD,DUF493 family protein YbeD,-,1871383,1871682
MIDG2331_RS08735,MIDG2331_01784,,serine hydrolase,-,1871816,1872994
MIDG2331_RS08740,MIDG2331_01785,,septal ring lytic transglycosylase RlpA family protein,-,1873090,1873653
MIDG2331_RS08745,MIDG2331_01786,rodA,rod shape-determining protein RodA,-,1873828,1874952
MIDG2331_RS08750,MIDG2331_01787,mrdA,penicillin-binding protein 2,-,1874945,1876906
MIDG2331_RS08755,MIDG2331_01788,rlmH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,-,1876988,1877455
MIDG2331_RS08760,MIDG2331_01789,rsfS,ribosome silencing factor,-,1877478,1877792
MIDG2331_RS08765,MIDG2331_01790,mutS,DNA mismatch repair protein MutS,-,1878014,1880608
MIDG2331_RS08770,MIDG2331_01791,,amino acid ABC transporter ATP-binding protein,-,1880774,1881523
MIDG2331_RS08775,MIDG2331_01792,,amino acid ABC transporter permease,-,1881545,1882261
MIDG2331_RS08780,MIDG2331_01793,,L-cysteine desulfidase family protein,-,1882409,1883707
MIDG2331_RS08785,MIDG2331_01794,,hemerythrin domain-containing protein,+,1883979,1884473
MIDG2331_RS08790,MIDG2331_01795,,DMT family transporter,-,1884552,1884881
MIDG2331_RS08795,MIDG2331_01796,,YfcZ/YiiS family protein,-,1884969,1885259
MIDG2331_RS08800,MIDG2331_01797,,tellurite resistance TerB family protein,-,1885413,1886045
MIDG2331_RS08805,MIDG2331_01798,,putative quinol monooxygenase,-,1886218,1886511
MIDG2331_RS08810,MIDG2331_01799,,urease accessory protein UreD,-,1886527,1887339
MIDG2331_RS08815,MIDG2331_01800,ureG,urease accessory protein UreG,-,1887508,1888143
MIDG2331_RS08820,MIDG2331_01801,,urease accessory protein UreF,-,1888164,1888847
MIDG2331_RS08825,MIDG2331_01802,ureE,urease accessory protein UreE,-,1888859,1889422
MIDG2331_RS08830,MIDG2331_01803,,glutathione S-transferase,-,1889495,1890112
MIDG2331_RS08835,MIDG2331_01804,ureC,urease subunit alpha,-,1890236,1891954
MIDG2331_RS08840,MIDG2331_01805,ureB,urease subunit beta,-,1891965,1892270
MIDG2331_RS08845,MIDG2331_01806,ureA,urease subunit gamma,-,1892463,1892765
MIDG2331_RS08850,MIDG2331_01807,,urea transporter,-,1892837,1893739
MIDG2331_RS08855,MIDG2331_01808,,energy-coupling factor ABC transporter ATP-binding protein,-,1893776,1894405
MIDG2331_RS08860,MIDG2331_01809,,energy-coupling factor transporter transmembrane component T family protein,-,1894428,1895045
MIDG2331_RS08865,MIDG2331_01810,cbiM,cobalt transporter CbiM,-,1895052,1895660
MIDG2331_RS08870,MIDG2331_01811,,hypothetical protein,-,1895661,1896074
MIDG2331_RS08875,MIDG2331_01812,,DUF4198 domain-containing protein,-,1896143,1896829
MIDG2331_RS08880,MIDG2331_01813,,LysR family transcriptional regulator,+,1897031,1897930
MIDG2331_RS08885,MIDG2331_01814,,nuclear transport factor 2 family protein,-,1898009,1898470
MIDG2331_RS08890,MIDG2331_01815,,SLC13 family permease,-,1898698,1900563
MIDG2331_RS08895,MIDG2331_01816,,MltR family transcriptional regulator,-,1900624,1901148
MIDG2331_RS08900,MIDG2331_01817,,mannitol-1-phosphate 5-dehydrogenase,-,1901148,1902287
MIDG2331_RS08905,MIDG2331_01818,,PTS mannitol transporter subunit IICBA,-,1902374,1904263
MIDG2331_RS08910,MIDG2331_01819,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),-,1904568,1906400
MIDG2331_RS08915,MIDG2331_01820,,DeoR/GlpR family DNA-binding transcription regulator,-,1906524,1907282
MIDG2331_RS08920,MIDG2331_01821,,glycine zipper 2TM domain-containing protein,-,1907420,1907620
MIDG2331_RS08925,MIDG2331_01822,,"alpha-1,6-glucosyltransferase",-,1907719,1908711
MIDG2331_RS08930,MIDG2331_01823,,UDP-glucose:protein N-beta-glucosyltransferase,-,1908760,1910622
MIDG2331_RS08935,MIDG2331_01824,rimO,30S ribosomal protein S12 methylthiotransferase RimO,-,1910638,1911969
MIDG2331_RS08940,MIDG2331_01825,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,-,1912142,1912840
MIDG2331_RS08945,MIDG2331_01826,,thiol:disulfide interchange protein DsbA/DsbL,-,1912840,1913547
MIDG2331_RS08950,MIDG2331_01827,,SlyX family protein,-,1913614,1913835
MIDG2331_RS08955,MIDG2331_01828,fkpA,FKBP-type peptidyl-prolyl cis-trans isomerase,+,1913926,1914657
MIDG2331_RS08960,MIDG2331_01829,,helix-turn-helix transcriptional regulator,+,1914769,1915428
MIDG2331_RS08965,MIDG2331_01830,tusD,sulfurtransferase complex subunit TusD,+,1915428,1915805
MIDG2331_RS08970,MIDG2331_01831,tusC,sulfurtransferase complex subunit TusC,+,1915805,1916179
MIDG2331_RS08975,MIDG2331_01832,tusB,sulfurtransferase complex subunit TusB,+,1916192,1916461
MIDG2331_RS09000,MIDG2331_01837,,F0F1 ATP synthase subunit epsilon,-,1922342,1922761
MIDG2331_RS09005,MIDG2331_01838,atpD,F0F1 ATP synthase subunit beta,-,1922801,1924174
MIDG2331_RS09010,MIDG2331_01839,atpG,F0F1 ATP synthase subunit gamma,-,1924188,1925054
MIDG2331_RS09015,MIDG2331_01840,atpA,F0F1 ATP synthase subunit alpha,-,1925077,1926618
MIDG2331_RS09020,MIDG2331_01841,atpH,F0F1 ATP synthase subunit delta,-,1926631,1927164
MIDG2331_RS09025,MIDG2331_01842,atpF,F0F1 ATP synthase subunit B,-,1927178,1927648
MIDG2331_RS09030,MIDG2331_01843,atpE,F0F1 ATP synthase subunit C,-,1927708,1927962
MIDG2331_RS09035,MIDG2331_01844,atpB,F0F1 ATP synthase subunit A,-,1928081,1928869
MIDG2331_RS09040,MIDG2331_01845,,ATP synthase subunit I,-,1928894,1929277
MIDG2331_RS09045,MIDG2331_01846,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,-,1929638,1930255
MIDG2331_RS09050,MIDG2331_01847,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,-,1930355,1932247
MIDG2331_RS09055,MIDG2331_01848,,Cof-type HAD-IIB family hydrolase,+,1932697,1933509
MIDG2331_RS09060,MIDG2331_01849,,amino acid ABC transporter substrate-binding protein,-,1933559,1934341
MIDG2331_RS09065,MIDG2331_01850,,YchJ family protein,-,1934553,1935029
MIDG2331_RS09070,MIDG2331_01851,,hypothetical protein,-,1935032,1935409
MIDG2331_RS09075,MIDG2331_01852,manZ,PTS mannose transporter subunit IID,-,1935497,1936324
MIDG2331_RS09080,MIDG2331_01853,,PTS mannose/fructose/sorbose transporter subunit IIC,-,1936335,1937129
MIDG2331_RS09085,MIDG2331_01854,,mannose/fructose/sorbose PTS transporter subunit IIA,-,1937144,1938112
MIDG2331_RS09090,MIDG2331_01855,,GntP family permease,-,1938302,1939651
MIDG2331_RS09095,MIDG2331_01856,,gluconokinase,+,1939829,1940344
MIDG2331_RS09100,MIDG2331_01857,gntR,gluconate operon transcriptional repressor GntR,-,1940416,1941414
MIDG2331_RS09105,MIDG2331_01858,,substrate-binding domain-containing protein,+,1941537,1942526
MIDG2331_RS09110,MIDG2331_01859,rbsD,D-ribose pyranase,+,1942647,1943066
MIDG2331_RS09115,MIDG2331_01860,rbsA,ribose ABC transporter ATP-binding protein RbsA,+,1943079,1944560
MIDG2331_RS09120,MIDG2331_01861,rbsC,ribose ABC transporter permease,+,1944613,1945572
MIDG2331_RS09125,MIDG2331_01862,rbsB,ribose ABC transporter substrate-binding protein RbsB,+,1945596,1946468
MIDG2331_RS09130,MIDG2331_01863,rbsK,ribokinase,+,1946541,1947452
MIDG2331_RS09135,MIDG2331_01864,,DMSO/selenate family reductase complex A subunit,+,1947687,1950104
MIDG2331_RS09140,MIDG2331_01865,,DMSO/selenate family reductase complex B subunit,+,1950114,1950731
MIDG2331_RS09145,MIDG2331_01866,,DmsC/YnfH family molybdoenzyme membrane anchor subunit,+,1950733,1951566
MIDG2331_RS09150,MIDG2331_01867,dmsD,Tat proofreading chaperone DmsD,+,1951622,1952227
MIDG2331_RS09155,MIDG2331_01868,napF,ferredoxin-type protein NapF,+,1952231,1952749
MIDG2331_RS09160,MIDG2331_01869,,class I SAM-dependent methyltransferase,-,1952746,1953375
MIDG2331_RS09175,MIDG2331_01872,,DUF6037 family protein,-,1954829,1955470
MIDG2331_RS09180,MIDG2331_01873,purL,phosphoribosylformylglycinamidine synthase,-,1955527,1959423
MIDG2331_RS09185,MIDG2331_01874,,DeoR/GlpR family DNA-binding transcription regulator,+,1959650,1960396
MIDG2331_RS09190,MIDG2331_01875,fucI,L-fucose isomerase,+,1960618,1962384
MIDG2331_RS09195,MIDG2331_01876,fucK,L-fuculokinase,+,1962461,1963894
MIDG2331_RS09200,MIDG2331_01877,fucU,L-fucose mutarotase,+,1964029,1964463
MIDG2331_RS09205,MIDG2331_01878,,L-fuculose-phosphate aldolase,+,1964514,1965164
MIDG2331_RS09210,MIDG2331_01879,fucP,L-fucose:H+ symporter permease,+,1965219,1966508
MIDG2331_RS09215,MIDG2331_01880,fucO,lactaldehyde reductase,+,1966628,1967779
MIDG2331_RS09220,MIDG2331_01881,,YagU family protein,+,1967981,1968622
MIDG2331_RS09225,MIDG2331_01882,,amino acid ABC transporter permease,+,1968824,1969483
MIDG2331_RS09230,MIDG2331_01883,,amino acid ABC transporter permease,+,1969473,1970141
MIDG2331_RS09245,MIDG2331_01885,,capsular polysaccharide biosynthesis protein,+,1971903,1973972
MIDG2331_RS09250,MIDG2331_01886,,capsule biosynthesis protein,+,1973995,1975215
MIDG2331_RS09255,MIDG2331_01887,,hypothetical protein,-,1975284,1976246
MIDG2331_RS09260,MIDG2331_01888,,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,-,1976407,1977087
MIDG2331_RS09265,MIDG2331_01889,,PTS sugar transporter subunit IIA,-,1977158,1977625
MIDG2331_RS09270,MIDG2331_01890,,PTS ascorbate-specific subunit IIBC,-,1977702,1979507
MIDG2331_RS09275,MIDG2331_01891,ulaG,L-ascorbate 6-phosphate lactonase,+,1979981,1981072
MIDG2331_RS09280,MIDG2331_01892,ulaR,HTH-type transcriptional regulator UlaR,+,1981174,1981920
MIDG2331_RS09285,MIDG2331_01893,,L-ribulose-5-phosphate 3-epimerase,+,1982006,1982866
MIDG2331_RS09290,MIDG2331_01894,araD,L-ribulose-5-phosphate 4-epimerase,+,1982860,1983573
MIDG2331_RS09295,MIDG2331_01895,,FKBP-type peptidyl-prolyl cis-trans isomerase,-,1983725,1984354
MIDG2331_RS09300,MIDG2331_01896,,hypothetical protein,+,1984681,1985410
MIDG2331_RS09305,,,hypothetical protein,-,1985534,1985722
MIDG2331_RS09310,MIDG2331_01897,,factor H binding protein domain-containing protein,+,1985756,1986190
MIDG2331_RS09320,MIDG2331_01899,,surface lipoprotein assembly modifier,+,1986616,1987743
MIDG2331_RS09325,MIDG2331_01900,rfaD,ADP-glyceromanno-heptose 6-epimerase,-,1987803,1988729
MIDG2331_RS09330,MIDG2331_01901,def,peptide deformylase,-,1988869,1989381
MIDG2331_RS09335,MIDG2331_01902,dprA,DNA-processing protein DprA,+,1989567,1990721
MIDG2331_RS09340,MIDG2331_01903,,OPT family oligopeptide transporter,-,1990765,1992771
MIDG2331_RS09345,MIDG2331_01904,,PTS ascorbate transporter subunit IIC,-,1992993,1994348
MIDG2331_RS09350,MIDG2331_01905,,PTS sugar transporter subunit IIB,-,1994357,1994629
MIDG2331_RS09355,MIDG2331_01906,secE,preprotein translocase subunit SecE,+,1994932,1995345
MIDG2331_RS09360,MIDG2331_01907,nusG,transcription termination/antitermination protein NusG,+,1995347,1995910
MIDG2331_RS09365,MIDG2331_01908,rplK,50S ribosomal protein L11,+,1996198,1996626
MIDG2331_RS09370,MIDG2331_01909,rplA,50S ribosomal protein L1,+,1996631,1997320
MIDG2331_RS09375,MIDG2331_01910,rplJ,50S ribosomal protein L10,+,1997609,1998100
MIDG2331_RS09380,MIDG2331_01911,rplL,50S ribosomal protein L7/L12,+,1998161,1998529
MIDG2331_RS09385,MIDG2331_01912,,helix-turn-helix domain-containing protein,+,1998693,1998965
MIDG2331_RS09390,MIDG2331_01913,,type II toxin-antitoxin system HipA family toxin,+,1998970,2000226
MIDG2331_RS09395,MIDG2331_01914,,hypothetical protein,+,2000385,2000603
MIDG2331_RS09400,MIDG2331_01915,,hypothetical protein,+,2000662,2001153
MIDG2331_RS09405,MIDG2331_01916,,hypothetical protein,+,2001228,2001542
MIDG2331_RS09410,MIDG2331_01918,,"IS256 family transposase, variant Zn-binding type",+,2001806,2002729
MIDG2331_RS09415,MIDG2331_01919,,hypothetical protein,+,2002835,2003449
MIDG2331_RS09420,MIDG2331_01920,rpoB,DNA-directed RNA polymerase subunit beta,+,2003804,2007832
MIDG2331_RS09425,MIDG2331_01921,rpoC,DNA-directed RNA polymerase subunit beta',+,2007958,2012229
MIDG2331_RS09430,MIDG2331_01922,,hypothetical protein,+,2012302,2013933
MIDG2331_RS09435,MIDG2331_01923,vapB,type II toxin-antitoxin system VapB family antitoxin,+,2014453,2014683
MIDG2331_RS09440,MIDG2331_01924,vapC,type II toxin-antitoxin system tRNA(fMet)-specific endonuclease VapC,+,2014683,2015081
MIDG2331_RS09445,MIDG2331_01925,,DUF417 family protein,-,2015216,2015632
MIDG2331_RS09450,MIDG2331_01926,,DUF2202 domain-containing protein,+,2015879,2016529
MIDG2331_RS09455,MIDG2331_01927,,hypothetical protein,-,2016604,2017263
MIDG2331_RS09460,MIDG2331_01929,,hypothetical protein,-,2017663,2018334
MIDG2331_RS09465,MIDG2331_01930,hslU,HslU--HslV peptidase ATPase subunit,-,2018406,2019728
MIDG2331_RS09470,MIDG2331_01931,hslV,ATP-dependent protease subunit HslV,-,2019994,2020515
MIDG2331_RS09475,MIDG2331_01932,sfsA,DNA/RNA nuclease SfsA,-,2020593,2021306
MIDG2331_RS09480,MIDG2331_01933,gloA2,SMU1112c/YaeR family gloxylase I-like metalloprotein,-,2021612,2022004
MIDG2331_RS09485,MIDG2331_01934,mutY,A/G-specific adenine glycosylase,+,2022102,2023247
MIDG2331_RS09490,MIDG2331_01935,,oxidative damage protection protein,+,2023251,2023526
MIDG2331_RS09495,MIDG2331_01936,mltC,membrane-bound lytic murein transglycosylase MltC,+,2023544,2024641
MIDG2331_RS09530,MIDG2331_01943,,DnaB-like helicase N-terminal domain-containing protein,+,2026166,2026486
MIDG2331_RS09535,,,conjugal transfer nickase/helicase domain-containing protein,+,2026470,2026826
MIDG2331_RS09540,,,tyrosine-type recombinase/integrase,+,2026852,2027742
MIDG2331_RS09560,MIDG2331_01948,,"IS256 family transposase, variant Zn-binding type",-,2030294,2031229
MIDG2331_RS09565,MIDG2331_01949,,peptidase domain-containing ABC transporter,-,2031422,2033503
MIDG2331_RS09570,MIDG2331_01950,,HlyD family secretion protein,-,2033493,2034449
MIDG2331_RS09585,MIDG2331_01953,ffh,signal recognition particle protein,+,2035981,2037372
MIDG2331_RS09590,MIDG2331_01954,,bifunctional metallophosphatase/5'-nucleotidase,-,2037527,2039191
MIDG2331_RS09595,MIDG2331_01955,,FAD-dependent oxidoreductase,-,2039383,2040549
MIDG2331_RS09600,MIDG2331_01956,,YifB family Mg chelatase-like AAA ATPase,+,2040755,2042281
MIDG2331_RS09605,MIDG2331_01957,,HupA family protein,+,2042404,2043498
MIDG2331_RS09610,MIDG2331_01958,menH,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",-,2043549,2044313
MIDG2331_RS09615,MIDG2331_01959,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase,-,2044313,2046019
MIDG2331_RS09620,MIDG2331_01960,,SGNH/GDSL hydrolase family protein,+,2046272,2046865
MIDG2331_RS09625,MIDG2331_01961,,N-acetylmannosamine-6-phosphate 2-epimerase,+,2046903,2047592
MIDG2331_RS09630,MIDG2331_01962,,N-acetylmannosamine kinase,+,2047602,2048474
MIDG2331_RS09635,MIDG2331_01963,nanA,N-acetylneuraminate lyase,+,2048495,2049373
MIDG2331_RS09640,MIDG2331_01964,nagB,glucosamine-6-phosphate deaminase,+,2049423,2050226
MIDG2331_RS09645,MIDG2331_01965,nagA,N-acetylglucosamine-6-phosphate deacetylase,+,2050278,2051423
MIDG2331_RS09650,MIDG2331_01966,fumC,class II fumarate hydratase,-,2051573,2052967
MIDG2331_RS09655,MIDG2331_01967,,TfoX/Sxy family DNA transformation protein,-,2053122,2053778
MIDG2331_RS09660,MIDG2331_01968,rpsJ,30S ribosomal protein S10,+,2054186,2054497
MIDG2331_RS09665,MIDG2331_01969,rplC,50S ribosomal protein L3,+,2054523,2055149
MIDG2331_RS09670,MIDG2331_01970,rplD,50S ribosomal protein L4,+,2055165,2055767
MIDG2331_RS09675,MIDG2331_01971,rplW,50S ribosomal protein L23,+,2055764,2056069
MIDG2331_RS09680,MIDG2331_01972,rplB,50S ribosomal protein L2,+,2056090,2056911
MIDG2331_RS09685,MIDG2331_01973,rpsS,30S ribosomal protein S19,+,2056939,2057214
MIDG2331_RS09690,MIDG2331_01974,rplV,50S ribosomal protein L22,+,2057225,2057557
MIDG2331_RS09695,MIDG2331_01975,rpsC,30S ribosomal protein S3,+,2057576,2058283
MIDG2331_RS09700,MIDG2331_01976,rplP,50S ribosomal protein L16,+,2058297,2058707
MIDG2331_RS09705,MIDG2331_01977,rpmC,50S ribosomal protein L29,+,2058707,2058898
MIDG2331_RS09710,MIDG2331_01978,rpsQ,30S ribosomal protein S17,+,2058898,2059152
MIDG2331_RS09715,MIDG2331_01979,rplN,50S ribosomal protein L14,+,2059392,2059763
MIDG2331_RS09720,MIDG2331_01980,rplX,50S ribosomal protein L24,+,2059774,2060085
MIDG2331_RS09725,MIDG2331_01981,rplE,50S ribosomal protein L5,+,2060103,2060642
MIDG2331_RS09730,MIDG2331_01982,rpsN,30S ribosomal protein S14,+,2060654,2060959
MIDG2331_RS09735,MIDG2331_01983,rpsH,30S ribosomal protein S8,+,2060996,2061388
MIDG2331_RS09740,MIDG2331_01984,rplF,50S ribosomal protein L6,+,2061405,2061938
MIDG2331_RS09745,MIDG2331_01985,rplR,50S ribosomal protein L18,+,2061953,2062306
MIDG2331_RS09750,MIDG2331_01986,rpsE,30S ribosomal protein S5,+,2062321,2062821
MIDG2331_RS09755,MIDG2331_01987,rpmD,50S ribosomal protein L30,+,2062828,2063007
MIDG2331_RS09760,MIDG2331_01988,rplO,50S ribosomal protein L15,+,2063012,2063446
MIDG2331_RS09765,MIDG2331_01989,secY,preprotein translocase subunit SecY,+,2063450,2064772
MIDG2331_RS09770,MIDG2331_01990,rpmJ,50S ribosomal protein L36,+,2064798,2064911
MIDG2331_RS09775,MIDG2331_01992,rpsM,30S ribosomal protein S13,+,2065048,2065404
MIDG2331_RS09780,MIDG2331_01993,rpsK,30S ribosomal protein S11,+,2065421,2065810
MIDG2331_RS09785,MIDG2331_01994,rpsD,30S ribosomal protein S4,+,2065839,2066465
MIDG2331_RS09790,MIDG2331_01995,,DNA-directed RNA polymerase subunit alpha,+,2066531,2067520
MIDG2331_RS09795,MIDG2331_01996,rplQ,50S ribosomal protein L17,+,2067556,2067939
MIDG2331_RS09800,MIDG2331_01997,rpsP,30S ribosomal protein S16,+,2068176,2068424
MIDG2331_RS09805,MIDG2331_01998,rimM,ribosome maturation factor RimM,+,2068458,2068985
MIDG2331_RS09810,MIDG2331_01999,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,+,2069043,2069798
MIDG2331_RS09815,MIDG2331_02000,rplS,50S ribosomal protein L19,+,2069824,2070174
MIDG2331_RS09820,MIDG2331_02001,,ribosomal protein uL16 3-hydroxylase,-,2070344,2071537
MIDG2331_RS09825,MIDG2331_02002,,ABC transporter substrate-binding protein,+,2071753,2072868
MIDG2331_RS09830,MIDG2331_02003,,FecCD family ABC transporter permease,+,2072871,2073908
MIDG2331_RS09835,MIDG2331_02004,,ABC transporter ATP-binding protein,+,2073924,2074691
MIDG2331_RS09840,MIDG2331_02005,,pseudoazurin,+,2074701,2075132
MIDG2331_RS09845,MIDG2331_02006,,ABC transporter substrate-binding protein,+,2075141,2076247
MIDG2331_RS09850,MIDG2331_02007,,ATP-grasp domain-containing protein,+,2076306,2077145
MIDG2331_RS09855,MIDG2331_02008,torD,molecular chaperone TorD,-,2077199,2077798
MIDG2331_RS09860,MIDG2331_02009,torA,trimethylamine-N-oxide reductase TorA,-,2077798,2080281
MIDG2331_RS09865,MIDG2331_02010,,hypothetical protein,-,2080291,2080911
MIDG2331_RS09870,MIDG2331_02011,glyQ,glycine--tRNA ligase subunit alpha,+,2081105,2082019
MIDG2331_RS09875,MIDG2331_02012,,endonuclease domain-containing protein,+,2082074,2082445
MIDG2331_RS09880,MIDG2331_02013,,hypothetical protein,+,2082918,2083322
MIDG2331_RS09885,MIDG2331_02014,glyS,glycine--tRNA ligase subunit beta,+,2083360,2085426
MIDG2331_RS09890,MIDG2331_02015,,methyltransferase domain-containing protein,+,2085560,2086327
MIDG2331_RS09895,MIDG2331_02016,,DUF5377 family protein,+,2086467,2086757
MIDG2331_RS09900,MIDG2331_02017,xerC,tyrosine recombinase XerC,+,2086848,2087768
MIDG2331_RS09905,MIDG2331_02018,,YbaN family protein,-,2087772,2088161
MIDG2331_RS09910,MIDG2331_02019,,glycosyltransferase family 2 protein,-,2088225,2089016
MIDG2331_RS09915,MIDG2331_02020,lpxH,"UDP-2,3-diacylglucosamine diphosphatase",-,2089013,2089711
MIDG2331_RS09920,MIDG2331_02021,,DUF1523 family protein,-,2089777,2090301
MIDG2331_RS09925,MIDG2331_02022,,TatD family hydrolase,-,2090336,2091124
MIDG2331_RS09930,MIDG2331_02024,,"IS256 family transposase, variant Zn-binding type",+,2091872,2092759
MIDG2331_RS09935,MIDG2331_02025,,MacB family efflux pump subunit,-,2092871,2094811
MIDG2331_RS09940,MIDG2331_02026,,efflux RND transporter periplasmic adaptor subunit,-,2094811,2095974
MIDG2331_RS09945,MIDG2331_02027,,MipA/OmpV family protein,-,2096107,2096883
MIDG2331_RS09950,MIDG2331_02028,,DNA polymerase III subunit delta',-,2097237,2098220
MIDG2331_RS09955,MIDG2331_02029,tmk,dTMP kinase,-,2098223,2098849
MIDG2331_RS09960,MIDG2331_02030,mltG,endolytic transglycosylase MltG,-,2098853,2099887
MIDG2331_RS09980,MIDG2331_02034,acpP,acyl carrier protein,-,2100486,2100719
MIDG2331_RS09985,MIDG2331_02035,rpe,ribulose-phosphate 3-epimerase,-,2100983,2101657
MIDG2331_RS09990,MIDG2331_02036,,type B 50S ribosomal protein L31,+,2101879,2102148
MIDG2331_RS09995,MIDG2331_02037,ykgO,type B 50S ribosomal protein L36,+,2102162,2102287
MIDG2331_RS10000,MIDG2331_02038,mrcB,penicillin-binding protein 1B,-,2102392,2104794
MIDG2331_RS10005,MIDG2331_02039,menB,"1,4-dihydroxy-2-naphthoyl-CoA synthase",-,2104873,2105730
MIDG2331_RS10010,MIDG2331_02040,,RelA/SpoT family protein,-,2105865,2107571
MIDG2331_RS10015,MIDG2331_02041,rpoZ,DNA-directed RNA polymerase subunit omega,-,2107667,2107948
MIDG2331_RS10020,MIDG2331_02042,recG,ATP-dependent DNA helicase RecG,-,2108075,2110156
MIDG2331_RS10025,MIDG2331_02043,,type II toxin-antitoxin system VapC family toxin,-,2110280,2110708
MIDG2331_RS10030,MIDG2331_02044,,type II toxin-antitoxin system Phd/YefM family antitoxin,-,2110708,2110995
MIDG2331_RS10035,MIDG2331_02045,proS,proline--tRNA ligase,+,2111201,2112916
MIDG2331_RS10040,MIDG2331_02046,,anti-sigma factor family protein,-,2112982,2113170
MIDG2331_RS10045,MIDG2331_02047,,sigma-70 family RNA polymerase sigma factor,-,2113173,2113754
MIDG2331_RS10050,MIDG2331_02048,msrP,protein-methionine-sulfoxide reductase catalytic subunit MsrP,+,2113843,2114799
MIDG2331_RS10055,MIDG2331_02049,,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,+,2114799,2115392
MIDG2331_RS10060,MIDG2331_02050,rpoH,RNA polymerase sigma factor RpoH,-,2115503,2116453
MIDG2331_RS10065,MIDG2331_02051,,MFS transporter,-,2116602,2117939
MIDG2331_RS10070,MIDG2331_02053,,hypothetical protein,+,2118514,2119026
MIDG2331_RS10075,MIDG2331_02054,,type II toxin-antitoxin system YafO family toxin,+,2119029,2119496
MIDG2331_RS10080,MIDG2331_02055,asnA,aspartate--ammonia ligase,-,2119539,2120531
MIDG2331_RS10085,MIDG2331_02056,asnC,transcriptional regulator AsnC,+,2120713,2121174
MIDG2331_RS10090,MIDG2331_02057,udp,uridine phosphorylase,+,2121363,2122127
MIDG2331_RS10095,MIDG2331_02058,,chorismate--pyruvate lyase family protein,+,2122191,2122685
MIDG2331_RS10100,MIDG2331_02059,murI,glutamate racemase,+,2122757,2123560
MIDG2331_RS10130,MIDG2331_02065,cysI,assimilatory sulfite reductase (NADPH) hemoprotein subunit,-,2129737,2131503
